"Ativo","Data","PMestq| de 12 meses| consolid:sim*","PMforn| de 12 meses| consolid:sim*","PMrecb| de 12 meses| consolid:sim*","CicFin| de 12 meses| consolid:sim*","CicOpe| de 12 meses| consolid:sim*"
"RRRP3<XBSP>","4T2017",0,83.08875032,74.6231805,-8.4655698201,74.6231805
"RRRP3<XBSP>","1T2018","-","-","-","-","-"
"RRRP3<XBSP>","2T2018","-","-","-","-","-"
"RRRP3<XBSP>","3T2018","-","-","-","-","-"
"RRRP3<XBSP>","4T2018",0,132.79601306,75.058327644,-57.737685417,75.058327644
"RRRP3<XBSP>","1T2019","-","-","-","-","-"
"RRRP3<XBSP>","2T2019","-","-","-","-","-"
"RRRP3<XBSP>","3T2019","-","-","-","-","-"
"RRRP3<XBSP>","4T2019",0,17.471149648,39.288888889,21.817739241,39.288888889
"RRRP3<XBSP>","1T2020","-","-","-","-","-"
"RRRP3<XBSP>","2T2020","-","-","-","-","-"
"RRRP3<XBSP>","3T2020","-","-","-","-","-"
"RRRP3<XBSP>","4T2020",16.099778792,76.059679013,78.733145985,18.773245764,94.832924777
"RRRP3<XBSP>","1T2021",9.3266519711,46.391039114,80.834534474,43.770147331,90.161186445
"RRRP3<XBSP>","2T2021",9.537373977,45.297402443,54.183236247,18.42320778,63.720610224
"RRRP3<XBSP>","3T2021",11.823339467,48.863303357,52.092329647,15.052365757,63.915669115
"RRRP3<XBSP>","4T2021",18.727255657,60.39883579,56.665700283,14.994120149,75.39295594
"RRRP3<XBSP>","1T2022",19.92693822,52.271585614,83.821649749,51.477002355,103.74858796
"RRRP3<XBSP>","2T2022",20.397354284,72.766139801,67.179299261,14.810513744,87.576653545
"RRRP3<XBSP>","3T2022",16.765848041,93.219957685,1.4142530518,-75.039856593,18.180101093
"RRRP3<XBSP>","4T2022",80.77362772,106.27864002,46.661456948,21.156444645,127.43508466
"RRRP3<XBSP>","1T2023",69.353541743,89.572354653,44.062856292,23.844043381,113.41639803
"RRRP3<XBSP>","2T2023",159.87000163,152.92392147,61.603963722,68.550043884,221.47396535
"RRRP3<XBSP>","3T2023",81.874904898,80.627872608,45.523336865,46.770369155,127.39824176
"RRRP3<XBSP>","4T2023",75.953557055,122.59800224,33.439197123,-13.205248063,109.39275417
"TTEN3<XBSP>","2T2022","-","-","-","-","-"
"TTEN3<XBSP>","3T2022","-","-","-","-","-"
"TTEN3<XBSP>","4T2022",125.08449407,121.18678519,54.264289363,58.161998236,179.34878344
"TTEN3<XBSP>","1T2023",118.18656073,118.63586923,48.483345692,48.03403719,166.66990642
"TTEN3<XBSP>","2T2023",139.11666645,92.567095572,22.217157642,68.76672852,161.33382409
"TTEN3<XBSP>","3T2023",108.61931198,97.439817598,25.136828643,36.31632303,133.75614063
"TTEN3<XBSP>","4T2023",70.394236848,94.359445576,49.552748449,25.587539721,119.94698529
"QVQP3<XBSP>","3T1998","-","-","-","-","-"
"QVQP3<XBSP>","4T1998","-","-","-","-","-"
"QVQP3<XBSP>","1T1999","-","-","-","-","-"
"QVQP3<XBSP>","2T1999","-","-","-","-","-"
"QVQP3<XBSP>","3T1999","-","-","-","-","-"
"QVQP3<XBSP>","4T1999","-","-","-","-","-"
"QVQP3<XBSP>","1T2000","-","-","-","-","-"
"QVQP3<XBSP>","2T2000","-","-","-","-","-"
"QVQP3<XBSP>","3T2000","-","-","-","-","-"
"QVQP3<XBSP>","4T2000","-","-","-","-","-"
"QVQP3<XBSP>","1T2001","-","-","-","-","-"
"QVQP3<XBSP>","2T2001","-","-","-","-","-"
"QVQP3<XBSP>","3T2001","-","-","-","-","-"
"QVQP3<XBSP>","4T2001","-","-","-","-","-"
"QVQP3<XBSP>","1T2002","-","-","-","-","-"
"QVQP3<XBSP>","2T2002","-","-","-","-","-"
"QVQP3<XBSP>","3T2002","-","-","-","-","-"
"QVQP3<XBSP>","4T2002","-","-","-","-","-"
"QVQP3<XBSP>","1T2003","-","-","-","-","-"
"QVQP3<XBSP>","2T2003","-","-","-","-","-"
"QVQP3<XBSP>","3T2003","-","-","-","-","-"
"QVQP3<XBSP>","4T2003","-","-","-","-","-"
"QVQP3<XBSP>","1T2004","-","-","-","-","-"
"QVQP3<XBSP>","2T2004","-","-","-","-","-"
"QVQP3<XBSP>","3T2004","-","-","-","-","-"
"QVQP3<XBSP>","4T2004","-","-","-","-","-"
"QVQP3<XBSP>","1T2005","-","-","-","-","-"
"QVQP3<XBSP>","2T2005","-","-","-","-","-"
"QVQP3<XBSP>","3T2005","-","-","-","-","-"
"QVQP3<XBSP>","4T2005","-","-","-","-","-"
"QVQP3<XBSP>","1T2006","-","-","-","-","-"
"QVQP3<XBSP>","2T2006","-","-","-","-","-"
"QVQP3<XBSP>","3T2006","-","-","-","-","-"
"QVQP3<XBSP>","4T2006","-","-","-","-","-"
"QVQP3<XBSP>","1T2007","-","-","-","-","-"
"QVQP3<XBSP>","2T2007","-","-","-","-","-"
"QVQP3<XBSP>","3T2007","-","-","-","-","-"
"QVQP3<XBSP>","4T2007","-","-","-","-","-"
"QVQP3<XBSP>","1T2008","-","-","-","-","-"
"QVQP3<XBSP>","2T2008","-","-","-","-","-"
"QVQP3<XBSP>","3T2008","-","-","-","-","-"
"QVQP3<XBSP>","4T2008","-","-","-","-","-"
"QVQP3<XBSP>","1T2009","-","-","-","-","-"
"QVQP3<XBSP>","2T2009","-","-","-","-","-"
"QVQP3<XBSP>","3T2009","-","-","-","-","-"
"QVQP3<XBSP>","4T2009","-","-","-","-","-"
"QVQP3<XBSP>","1T2010","-","-","-","-","-"
"QVQP3<XBSP>","2T2010","-","-","-","-","-"
"QVQP3<XBSP>","3T2010","-","-","-","-","-"
"QVQP3<XBSP>","4T2010","-","-","-","-","-"
"QVQP3<XBSP>","1T2011","-","-","-","-","-"
"QVQP3<XBSP>","2T2011","-","-","-","-","-"
"QVQP3<XBSP>","3T2011","-","-","-","-","-"
"QVQP3<XBSP>","4T2011","-","-","-","-","-"
"QVQP3<XBSP>","1T2012","-","-","-","-","-"
"QVQP3<XBSP>","2T2012","-","-","-","-","-"
"QVQP3<XBSP>","3T2012","-","-","-","-","-"
"QVQP3<XBSP>","4T2012","-","-","-","-","-"
"QVQP3<XBSP>","1T2013","-","-","-","-","-"
"QVQP3<XBSP>","2T2013","-","-","-","-","-"
"QVQP3<XBSP>","3T2013","-","-","-","-","-"
"QVQP3<XBSP>","4T2013","-","-","-","-","-"
"QVQP3<XBSP>","1T2014","-","-","-","-","-"
"QVQP3<XBSP>","2T2014","-","-","-","-","-"
"QVQP3<XBSP>","3T2014","-","-","-","-","-"
"QVQP3<XBSP>","4T2014","-","-","-","-","-"
"QVQP3<XBSP>","1T2015","-","-","-","-","-"
"QVQP3<XBSP>","2T2015","-","-","-","-","-"
"QVQP3<XBSP>","3T2015","-","-","-","-","-"
"QVQP3<XBSP>","4T2015","-","-","-","-","-"
"QVQP3<XBSP>","1T2016","-","-","-","-","-"
"QVQP3<XBSP>","2T2016","-","-","-","-","-"
"QVQP3<XBSP>","3T2016","-","-","-","-","-"
"QVQP3<XBSP>","4T2016","-","-","-","-","-"
"QVQP3<XBSP>","1T2017","-","-","-","-","-"
"QVQP3<XBSP>","2T2017","-","-","-","-","-"
"QVQP3<XBSP>","3T2017","-","-","-","-","-"
"QVQP3<XBSP>","4T2017","-","-","-","-","-"
"QVQP3<XBSP>","1T2018","-","-","-","-","-"
"QVQP3<XBSP>","2T2018","-","-","-","-","-"
"QVQP3<XBSP>","3T2018","-","-","-","-","-"
"QVQP3<XBSP>","4T2018","-","-","-","-","-"
"QVQP3<XBSP>","1T2019","-","-","-","-","-"
"QVQP3<XBSP>","2T2019","-","-","-","-","-"
"QVQP3<XBSP>","3T2019","-","-","-","-","-"
"QVQP3<XBSP>","4T2019","-","-","-","-","-"
"QVQP3<XBSP>","1T2020","-","-","-","-","-"
"QVQP3<XBSP>","2T2020","-","-","-","-","-"
"QVQP3<XBSP>","3T2020","-","-","-","-","-"
"QVQP3<XBSP>","4T2020","-","-","-","-","-"
"QVQP3<XBSP>","1T2021","-","-","-","-","-"
"QVQP3<XBSP>","2T2021","-","-","-","-","-"
"QVQP3<XBSP>","3T2021","-","-","-","-","-"
"QVQP3<XBSP>","4T2021","-","-","-","-","-"
"QVQP3<XBSP>","1T2022","-","-","-","-","-"
"QVQP3<XBSP>","2T2022","-","-","-","-","-"
"QVQP3<XBSP>","3T2022","-","-","-","-","-"
"QVQP3<XBSP>","4T2022","-","-","-","-","-"
"QVQP3<XBSP>","1T2023","-","-","-","-","-"
"QVQP3<XBSP>","2T2023","-","-","-","-","-"
"QVQP3<XBSP>","3T2023","-","-","-","-","-"
"QVQP3<XBSP>","4T2023","-","-","-","-","-"
"ABCB4<XBSP>","4T2006","-","-","-","-","-"
"ABCB4<XBSP>","1T2007","-","-","-","-","-"
"ABCB4<XBSP>","2T2007","-","-","-","-","-"
"ABCB4<XBSP>","3T2007","-","-","-","-","-"
"ABCB4<XBSP>","4T2007","-","-","-","-","-"
"ABCB4<XBSP>","1T2008","-","-","-","-","-"
"ABCB4<XBSP>","2T2008","-","-","-","-","-"
"ABCB4<XBSP>","3T2008","-","-","-","-","-"
"ABCB4<XBSP>","4T2008","-","-","-","-","-"
"ABCB4<XBSP>","1T2009","-","-","-","-","-"
"ABCB4<XBSP>","2T2009","-","-","-","-","-"
"ABCB4<XBSP>","3T2009","-","-","-","-","-"
"ABCB4<XBSP>","4T2009","-","-","-","-","-"
"ABCB4<XBSP>","1T2010","-","-","-","-","-"
"ABCB4<XBSP>","2T2010","-","-","-","-","-"
"ABCB4<XBSP>","3T2010","-","-","-","-","-"
"ABCB4<XBSP>","4T2010","-","-","-","-","-"
"ABCB4<XBSP>","1T2011","-","-","-","-","-"
"ABCB4<XBSP>","2T2011","-","-","-","-","-"
"ABCB4<XBSP>","3T2011","-","-","-","-","-"
"ABCB4<XBSP>","4T2011","-","-","-","-","-"
"ABCB4<XBSP>","1T2012","-","-","-","-","-"
"ABCB4<XBSP>","2T2012","-","-","-","-","-"
"ABCB4<XBSP>","3T2012","-","-","-","-","-"
"ABCB4<XBSP>","4T2012","-","-","-","-","-"
"ABCB4<XBSP>","1T2013","-","-","-","-","-"
"ABCB4<XBSP>","2T2013","-","-","-","-","-"
"ABCB4<XBSP>","3T2013","-","-","-","-","-"
"ABCB4<XBSP>","4T2013","-","-","-","-","-"
"ABCB4<XBSP>","1T2014","-","-","-","-","-"
"ABCB4<XBSP>","2T2014","-","-","-","-","-"
"ABCB4<XBSP>","3T2014","-","-","-","-","-"
"ABCB4<XBSP>","4T2014","-","-","-","-","-"
"ABCB4<XBSP>","1T2015","-","-","-","-","-"
"ABCB4<XBSP>","2T2015","-","-","-","-","-"
"ABCB4<XBSP>","3T2015","-","-","-","-","-"
"ABCB4<XBSP>","4T2015","-","-","-","-","-"
"ABCB4<XBSP>","1T2016","-","-","-","-","-"
"ABCB4<XBSP>","2T2016","-","-","-","-","-"
"ABCB4<XBSP>","3T2016","-","-","-","-","-"
"ABCB4<XBSP>","4T2016","-","-","-","-","-"
"ABCB4<XBSP>","1T2017","-","-","-","-","-"
"ABCB4<XBSP>","2T2017","-","-","-","-","-"
"ABCB4<XBSP>","3T2017","-","-","-","-","-"
"ABCB4<XBSP>","4T2017","-","-","-","-","-"
"ABCB4<XBSP>","1T2018","-","-","-","-","-"
"ABCB4<XBSP>","2T2018","-","-","-","-","-"
"ABCB4<XBSP>","3T2018","-","-","-","-","-"
"ABCB4<XBSP>","4T2018","-","-","-","-","-"
"ABCB4<XBSP>","1T2019","-","-","-","-","-"
"ABCB4<XBSP>","2T2019","-","-","-","-","-"
"ABCB4<XBSP>","3T2019","-","-","-","-","-"
"ABCB4<XBSP>","4T2019","-","-","-","-","-"
"ABCB4<XBSP>","1T2020","-","-","-","-","-"
"ABCB4<XBSP>","2T2020","-","-","-","-","-"
"ABCB4<XBSP>","3T2020","-","-","-","-","-"
"ABCB4<XBSP>","4T2020","-","-","-","-","-"
"ABCB4<XBSP>","1T2021","-","-","-","-","-"
"ABCB4<XBSP>","2T2021","-","-","-","-","-"
"ABCB4<XBSP>","3T2021","-","-","-","-","-"
"ABCB4<XBSP>","4T2021","-","-","-","-","-"
"ABCB4<XBSP>","1T2022","-","-","-","-","-"
"ABCB4<XBSP>","2T2022","-","-","-","-","-"
"ABCB4<XBSP>","3T2022","-","-","-","-","-"
"ABCB4<XBSP>","4T2022","-","-","-","-","-"
"ABCB4<XBSP>","1T2023","-","-","-","-","-"
"ABCB4<XBSP>","2T2023","-","-","-","-","-"
"ABCB4<XBSP>","3T2023","-","-","-","-","-"
"ABCB4<XBSP>","4T2023","-","-","-","-","-"
"EALT3<XBSP>","2T2018","-","-","-","-","-"
"EALT3<XBSP>","3T2018","-","-","-","-","-"
"EALT3<XBSP>","4T2018",77.815632896,28.26391719,67.451621916,117.00333762,145.26725481
"EALT3<XBSP>","1T2019",62.185040166,24.95493349,87.098472348,124.32857902,149.28351251
"EALT3<XBSP>","2T2019",57.876658211,21.46047324,63.665726806,100.08191177,121.54238501
"EALT3<XBSP>","3T2019",59.952435569,23.958811227,73.789697784,109.78332212,133.74213335
"EALT3<XBSP>","4T2019",51.963225762,18.897114007,83.674004158,116.74011591,135.63722992
"EALT3<XBSP>","1T2020",63.300406243,26.396407954,97.348823134,134.25282142,160.64922938
"EALT3<XBSP>","2T2020",72.426809933,26.755602234,110.00214198,155.67334968,182.42895192
"EALT3<XBSP>","3T2020",72.739993593,26.921033866,103.42597445,149.24493418,176.16596805
"EALT3<XBSP>","4T2020",73.12144046,26.309245896,93.409169444,140.22136401,166.5306099
"EALT3<XBSP>","1T2021",85.413729751,43.087947153,89.52871048,131.85449308,174.94244023
"EALT3<XBSP>","2T2021",89.99332468,38.970517337,93.967551362,144.9903587,183.96087604
"EALT3<XBSP>","3T2021",87.101294494,39.131996198,105.03662105,153.00591935,192.13791554
"EALT3<XBSP>","4T2021",75.91066052,40.479561808,88.444237485,123.87533619,164.35489801
"EALT3<XBSP>","1T2022",75.299123935,46.793920587,69.08464533,97.589848678,144.38376927
"EALT3<XBSP>","2T2022",67.585669825,39.533526724,79.256813518,107.30895661,146.84248334
"EALT3<XBSP>","3T2022",70.745857022,37.840087093,71.932815943,104.83858587,142.67867296
"EALT3<XBSP>","4T2022",66.92570852,28.378536032,58.712198333,97.259370822,125.63790685
"EALT3<XBSP>","1T2023",69.438715416,30.503112906,65.250609998,104.1862125,134.68932541
"EALT3<XBSP>","2T2023",72.229503088,32.077288347,65.376317537,105.52853227,137.60582063
"EALT3<XBSP>","3T2023",77.709311018,37.319199808,71.46737172,111.85748293,149.17668274
"EALT3<XBSP>","4T2023",77.546642384,25.314584613,71.981981073,124.21403884,149.52862346
"EALT4<XBSP>","2T2018","-","-","-","-","-"
"EALT4<XBSP>","3T2018","-","-","-","-","-"
"EALT4<XBSP>","4T2018",77.815632896,28.26391719,67.451621916,117.00333762,145.26725481
"EALT4<XBSP>","1T2019",62.185040166,24.95493349,87.098472348,124.32857902,149.28351251
"EALT4<XBSP>","2T2019",57.876658211,21.46047324,63.665726806,100.08191177,121.54238501
"EALT4<XBSP>","3T2019",59.952435569,23.958811227,73.789697784,109.78332212,133.74213335
"EALT4<XBSP>","4T2019",51.963225762,18.897114007,83.674004158,116.74011591,135.63722992
"EALT4<XBSP>","1T2020",63.300406243,26.396407954,97.348823134,134.25282142,160.64922938
"EALT4<XBSP>","2T2020",72.426809933,26.755602234,110.00214198,155.67334968,182.42895192
"EALT4<XBSP>","3T2020",72.739993593,26.921033866,103.42597445,149.24493418,176.16596805
"EALT4<XBSP>","4T2020",73.12144046,26.309245896,93.409169444,140.22136401,166.5306099
"EALT4<XBSP>","1T2021",85.413729751,43.087947153,89.52871048,131.85449308,174.94244023
"EALT4<XBSP>","2T2021",89.99332468,38.970517337,93.967551362,144.9903587,183.96087604
"EALT4<XBSP>","3T2021",87.101294494,39.131996198,105.03662105,153.00591935,192.13791554
"EALT4<XBSP>","4T2021",75.91066052,40.479561808,88.444237485,123.87533619,164.35489801
"EALT4<XBSP>","1T2022",75.299123935,46.793920587,69.08464533,97.589848678,144.38376927
"EALT4<XBSP>","2T2022",67.585669825,39.533526724,79.256813518,107.30895661,146.84248334
"EALT4<XBSP>","3T2022",70.745857022,37.840087093,71.932815943,104.83858587,142.67867296
"EALT4<XBSP>","4T2022",66.92570852,28.378536032,58.712198333,97.259370822,125.63790685
