"Ativo","Data","LPA| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","VPA| Em moeda orig| consolid:sim*| ajust p/ prov","Vendas/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov","EBITDA/Acao| Em moeda orig| de 12 meses| consolid:sim*| ajust p/ prov"
"RRRP3<XBSP>","4T2017",-44.27983456,"-",29.292541928,-42.365740063
"RRRP3<XBSP>","1T2018","-","-","-","-"
"RRRP3<XBSP>","2T2018","-","-","-","-"
"RRRP3<XBSP>","3T2018","-","-","-","-"
"RRRP3<XBSP>","4T2018",-9.8967768196,"-",28.332130717,30.113348707
"RRRP3<XBSP>","1T2019","-","-","-","-"
"RRRP3<XBSP>","2T2019","-","-","-","-"
"RRRP3<XBSP>","3T2019","-","-","-","-"
"RRRP3<XBSP>","4T2019",-26.883103995,199.14067585,27.248093895,-6.768291965
"RRRP3<XBSP>","1T2020","-",242.20275609,"-","-"
"RRRP3<XBSP>","2T2020","-",186.94715384,"-","-"
"RRRP3<XBSP>","3T2020","-",183.64206097,"-","-"
"RRRP3<XBSP>","4T2020",-10.510097963,9.8361396482,8.2810813029,-5.2664618518
"RRRP3<XBSP>","1T2021",-5.7174665661,13.769395403,6.8307996226,-0.43674211919
"RRRP3<XBSP>","2T2021",-2.6949528159,13.738593009,6.0990038964,2.4792564468
"RRRP3<XBSP>","3T2021",-1.838761631,13.768254573,5.9619649595,2.7757965695
"RRRP3<XBSP>","4T2021",-0.0065640266644,20.276556537,5.2787757374,3.8616277663
"RRRP3<XBSP>","1T2022",-1.5491642472,18.761613366,6.0355320637,4.0412480032
"RRRP3<XBSP>","2T2022",-1.2358808283,19.151542779,6.8272339962,3.6295658924
"RRRP3<XBSP>","3T2022",1.10882804,21.317524975,7.7933307078,3.7492342502
"RRRP3<XBSP>","4T2022",0.73811009875,21.086655833,8.5000038277,2.7159741379
"RRRP3<XBSP>","1T2023",2.240962674,21.137136505,9.473409458,2.5043384363
"RRRP3<XBSP>","2T2023",2.3344438593,21.896089624,11.501337087,2.3924192257
"RRRP3<XBSP>","3T2023",-0.17155475899,21.60722369,19.662282619,5.2535298453
"RRRP3<XBSP>","4T2023",1.8108271022,22.88659154,25.113461347,8.4276383275
"TTEN3<XBSP>","2T2022","-",4.8771326312,"-","-"
"TTEN3<XBSP>","3T2022","-",5.2241897714,"-","-"
"TTEN3<XBSP>","4T2022",1.1524626789,5.6677544878,13.887221969,1.1604491275
"TTEN3<XBSP>","1T2023",1.2472262903,5.7668824679,14.939653185,"-"
"TTEN3<XBSP>","2T2023",1.1596804591,5.9277457634,15.453357205,1.0747492839
"TTEN3<XBSP>","3T2023",1.2589776084,6.3686455392,16.333061025,1.2117519784
"TTEN3<XBSP>","4T2023",1.155222012,6.7201638821,18.070676998,1.0026079726
"QVQP3<XBSP>","3T1998","-",1.0161233389,"-","-"
"QVQP3<XBSP>","4T1998",0.014230180444,0.95056010195,0,0.013115004722
"QVQP3<XBSP>","1T1999","-",0.95064389128,"-","-"
"QVQP3<XBSP>","2T1999",0.017099089636,0.95221752655,0,"-"
"QVQP3<XBSP>","3T1999",0.0020881986515,0.95376716093,0,"-"
"QVQP3<XBSP>","4T1999",0.0049636017198,0.95080827389,0,-0.0051065280763
"QVQP3<XBSP>","1T2000",0.0061060150805,0.95203447658,0,"-"
"QVQP3<XBSP>","2T2000",0.0050783133586,0.95258840055,0,"-"
"QVQP3<XBSP>","3T2000",0.0041993643209,0.95323982656,0,"-"
"QVQP3<XBSP>","4T2000",0.0036031928754,0.95100054964,0,-0.0085906632397
"QVQP3<XBSP>","1T2001",0.0031349845367,0.95175376097,0,"-"
"QVQP3<XBSP>","2T2001","-","-","-","-"
"QVQP3<XBSP>","3T2001",-0.9961450278,0.019782559964,0,"-"
"QVQP3<XBSP>","4T2001",-0.97640048869,0.019016662931,0,"-"
"QVQP3<XBSP>","1T2002","-",0.017709033849,"-","-"
"QVQP3<XBSP>","2T2002",-0.94050691481,0.016420085183,0,"-"
"QVQP3<XBSP>","3T2002",-0.0049503100952,0.014813569453,0,"-"
"QVQP3<XBSP>","4T2002",-0.0067249495629,0.012291713367,0,-0.0085556302772
"QVQP3<XBSP>","1T2003",-0.94035343346,0.0096764552044,0,"-"
"QVQP3<XBSP>","2T2003",-0.94068968094,0.00805125906,0,"-"
"QVQP3<XBSP>","3T2003",-0.0074348053501,0.0074161249346,0,"-"
"QVQP3<XBSP>","4T2003",-0.0050997534185,0.0071919599492,0,-0.0058096092057
"QVQP3<XBSP>","1T2004",-0.0028954643951,0.0067809908092,0,"-"
"QVQP3<XBSP>","2T2004",-0.0017933198772,0.0062579391766,0,"-"
"QVQP3<XBSP>","3T2004",-0.0015317940656,0.0058843308675,0,"-"
"QVQP3<XBSP>","4T2004",-0.0015878353134,0.0056041246357,0,-0.0017559590525
"QVQP3<XBSP>","1T2005",0.0012142270044,0.0080138982291,0,"-"
"QVQP3<XBSP>","2T2005",0.0016812373907,0.0079391765673,0,"-"
"QVQP3<XBSP>","3T2005",0.0020735261152,0.0079391765673,0,"-"
"QVQP3<XBSP>","4T2005",0.0022229694388,0.0078270940746,0,-0.001569154898
"QVQP3<XBSP>","1T2006",-0.0010544982004,0.0071143427431,0,"-"
"QVQP3<XBSP>","2T2006",-0.00093381808389,0.0071143427431,0,"-"
"QVQP3<XBSP>","3T2006",-0.0017631046031,0.0063016823496,0,"-"
"QVQP3<XBSP>","4T2006",-0.0013584401324,0.0064154660756,0,-0.0019129054927
"QVQP3<XBSP>","1T2007",-0.0012169444474,0.0058613471247,0,"-"
"QVQP3<XBSP>","2T2007",-0.0012378907502,0.0057997783524,0,"-"
"QVQP3<XBSP>","3T2007",-0.00051756426761,0.005762837089,0,"-"
"QVQP3<XBSP>","4T2007",-0.00068957024997,0.0057258958256,0,-0.0010220416204
"QVQP3<XBSP>","1T2008",-0.00070188400443,0.0051594631203,0,"-"
"QVQP3<XBSP>","2T2008",-0.00091121783032,0.0048762467676,0,"-"
"QVQP3<XBSP>","3T2008",-0.0007342612177,0.0049161063842,0,"-"
"QVQP3<XBSP>","4T2008",-0.00062122236612,0.004908669007,0,-0.0010130703201
"QVQP3<XBSP>","1T2009",-0.00051771369077,0.0045962991611,0,"-"
"QVQP3<XBSP>","2T2009",-0.00063310076937,0.0042690545606,0,"-"
"QVQP3<XBSP>","3T2009",-0.00073630035105,0.0041798060332,0,"-"
"QVQP3<XBSP>","4T2009",-0.00096935098869,0.0039269925165,0,-0.0011719019415
"QVQP3<XBSP>","1T2010",-0.0008874933334,0.0037081222728,0,-0.0010445113846
"QVQP3<XBSP>","2T2010",0.018683560449,0.02074186185,0,0.018529839006
"QVQP3<XBSP>","3T2010",0.017868292686,0.00045387006237,0,0.017388284823
"QVQP3<XBSP>","4T2010",0.017506581582,0.0005843577053,0,0.016941481122
"QVQP3<XBSP>","1T2011",0.017420228281,0.00048791031705,0,0.016753507081
"QVQP3<XBSP>","2T2011",0.00021558827961,0.00039713630457,0,-0.00051060382017
"QVQP3<XBSP>","3T2011",-0.00010779413982,0.00035174929834,0,-0.00048791031705
"QVQP3<XBSP>","4T2011",-0.00039146292879,0.00019289477651,0,-0.00066378496621
"QVQP3<XBSP>","1T2012",0.0025359989735,0.0030239092905,0,0.00211049579
"QVQP3<XBSP>","2T2012",0.0025189788461,0.0029161151507,0,0.0021275159174
"QVQP3<XBSP>","3T2012",0.0025643658524,0.0029161151507,0,0.0021331892931
"QVQP3<XBSP>","4T2012",0.0026551398649,0.0022806970634,0,0.0022012698025
"QVQP3<XBSP>","1T2013",-0.00037444280145,0.0020878022869,0,-0.00057301095374
"QVQP3<XBSP>","2T2013",-0.00030068891632,0.0020537620322,0,-0.00048791031705
"QVQP3<XBSP>","3T2013",-0.00029501554054,0.0020537620322,0,-0.00047656356549
"QVQP3<XBSP>","4T2013",0.00053897069823,0.0026835052365,0,0.00035742267356
"QVQP3<XBSP>","1T2014",0.00048223687374,0.002439550215,0,0.00027799537427
"QVQP3<XBSP>","2T2014",-0.000034040245145,0.0018892330735,0,-0.00024962846439
"QVQP3<XBSP>","3T2014",-0.000051060360489,0.0018665395831,0,-0.0002723219226
"QVQP3<XBSP>","4T2014",-0.00085667926155,0.001826825975,0,-0.0010779407926
