"Ativo","Data","LiqGer| consolid:sim*","LiqGer| consolid:sim*","LiqCor| consolid:sim*","CapGir| Em moeda orig| em milhares| consolid:sim*","Cap Empl| Em moeda orig| em milhares| consolid:sim*"
"RRRP3<XBSP>","4T2017",0.86958428861,0.86958428861,5.4640623763,112789,428043
"RRRP3<XBSP>","1T2018","-","-","-","-","-"
"RRRP3<XBSP>","2T2018","-","-","-","-","-"
"RRRP3<XBSP>","3T2018","-","-","-","-","-"
"RRRP3<XBSP>","4T2018",0.88762120061,0.88762120061,3.1444113536,70564,392876
"RRRP3<XBSP>","1T2019","-","-","-","-","-"
"RRRP3<XBSP>","2T2019","-","-","-","-","-"
"RRRP3<XBSP>","3T2019","-","-","-","-","-"
"RRRP3<XBSP>","4T2019",0.81862938535,0.81862938535,2.7144976626,61247,360721
"RRRP3<XBSP>","1T2020",0.71462413575,0.71462413575,2.0448150461,28443,442289
"RRRP3<XBSP>","2T2020",0.25046156592,0.25046156592,1.6859833867,10488,386286
"RRRP3<XBSP>","3T2020",0.20995873814,0.20995873814,8.3759146341,24193,397577
"RRRP3<XBSP>","4T2020",0.77432352291,0.77432352291,6.7401123036,657306,2004119
"RRRP3<XBSP>","1T2021",1.4190284171,1.4190284171,9.4991094073,1441024,2845920
"RRRP3<XBSP>","2T2021",1.3923755288,1.3923755288,6.9415140587,1306533,2812675
"RRRP3<XBSP>","3T2021",0.84336018268,0.84336018268,2.636889847,870151,3133708
"RRRP3<XBSP>","4T2021",2.2111904516,2.2111904516,4.7867968098,2146595,4887291
"RRRP3<XBSP>","1T2022",1.4418830262,1.4418830262,2.620807181,1191739,4493656
"RRRP3<XBSP>","2T2022",0.45456498686,0.45456498686,0.92964213581,-62947,5145920
"RRRP3<XBSP>","3T2022",0.59804677698,0.59804677698,1.8787997337,858104,7193551
"RRRP3<XBSP>","4T2022",0.57939534858,0.57939534858,1.7618916751,679215,7227607
"RRRP3<XBSP>","1T2023",0.56113157476,0.56113157476,1.2183875558,271972,7013749
"RRRP3<XBSP>","2T2023",0.40466157698,0.40466157698,1.0778101999,165834,16926265
"RRRP3<XBSP>","3T2023",0.41230755251,0.41230755251,1.0230751802,57643,17391247
"RRRP3<XBSP>","4T2023",0.47450457472,0.47450457472,1.1885157879,628985,17744700
"TTEN3<XBSP>","2T2022",1.4252541432,1.4252541432,1.7360831489,1779442,3848972
"TTEN3<XBSP>","3T2022",1.3940051438,1.3940051438,1.6085711428,1599995,3766138
"TTEN3<XBSP>","4T2022",1.3967103364,1.3967103364,1.5541912816,1518033,3941947
"TTEN3<XBSP>","1T2023",1.3408680827,1.3408680827,1.5200396242,1523467,4200558
"TTEN3<XBSP>","2T2023",1.3487768091,1.3487768091,1.5982152033,1542465,4343108
"TTEN3<XBSP>","3T2023",1.3682936576,1.3682936576,1.5241258865,1467227,4475110
"TTEN3<XBSP>","4T2023",1.3870261825,1.3870261825,1.5879394386,1637262,4661172
"QVQP3<XBSP>","3T1998","-","-","-",2636.182,49915.23
"QVQP3<XBSP>","4T1998",2.4868571635,2.4868571635,2.4868571635,990.006,46694.554
"QVQP3<XBSP>","1T1999",4.4419492914,4.4419492914,4.4419492914,2300.623,46698.67
"QVQP3<XBSP>","2T1999",84.278174686,84.278174686,84.278174686,2377.925,46775.972
"QVQP3<XBSP>","3T1999",111.34417365,111.34417365,111.34417365,4183.589,46852.095
"QVQP3<XBSP>","4T1999",14.426413832,14.426413832,14.426413832,3854.616,46706.745
"QVQP3<XBSP>","1T2000",17.958703856,17.958703856,17.958703856,4300.439,46766.98
"QVQP3<XBSP>","2T2000",18.37751004,18.37751004,18.37751004,4327,46794
"QVQP3<XBSP>","3T2000",17.895348837,17.895348837,17.895348837,4359,46826
"QVQP3<XBSP>","4T2000",19.757281553,19.757281553,19.757281553,3864,46716
"QVQP3<XBSP>","1T2001",22.915730337,22.915730337,22.915730337,3901,46753
"QVQP3<XBSP>","2T2001","-","-","-","-","-"
"QVQP3<XBSP>","3T2001",97.272727273,97.272727273,97.272727273,1059,1059
"QVQP3<XBSP>","4T2001",340.33333333,340.33333333,340.33333333,1018,1018
"QVQP3<XBSP>","1T2002",949,949,949,948,948
"QVQP3<XBSP>","2T2002",880,880,880,879,879
"QVQP3<XBSP>","3T2002",794,794,794,793,793
"QVQP3<XBSP>","4T2002",659,659,659,658,658
"QVQP3<XBSP>","1T2003",260,260,260,518,518
"QVQP3<XBSP>","2T2003",26.352941176,26.352941176,26.352941176,431,431
"QVQP3<XBSP>","3T2003",50.625,50.625,50.625,397,397
"QVQP3<XBSP>","4T2003",23.647058824,23.647058824,23.647058824,385,385
"QVQP3<XBSP>","1T2004",37.3,37.3,37.3,363,363
"QVQP3<XBSP>","2T2004",16.952380952,16.952380952,16.952380952,335,335
"QVQP3<XBSP>","3T2004",36,36,36,315,315
"QVQP3<XBSP>","4T2004",17.666666667,17.666666667,17.666666667,300,300
"QVQP3<XBSP>","1T2005",7.6,7.6,7.6,429,429
"QVQP3<XBSP>","2T2005",6.7432432432,6.7432432432,6.7432432432,425,425
"QVQP3<XBSP>","3T2005",6.1204819277,6.1204819277,6.1204819277,425,425
"QVQP3<XBSP>","4T2005",5.1078431373,5.1078431373,5.5425531915,427,427
