"Ativo","Data","Capex| Em moeda orig| em milhares| de 12 meses| consolid:sim*","Depr e Amor| Em moeda orig| em milhares| de 12 meses| consolid:sim*","Capex(+inv)/Dep| de 12 meses| consolid:sim*","Dep/Imob&Int| Em moeda orig| de 12 meses| consolid:sim*","FCL| Em moeda orig| em milhares| de 12 meses| consolid:sim*","FCLF| Em moeda orig| em milhares| de 12 meses| consolid:sim*"
"RRRP3<XBSP>","4T2017",8625,9614,89.71291866,"-",-29429,"-"
"RRRP3<XBSP>","1T2018","-","-","-","-","-","-"
"RRRP3<XBSP>","2T2018","-","-","-","-","-","-"
"RRRP3<XBSP>","3T2018","-","-","-","-","-","-"
"RRRP3<XBSP>","4T2018",33734,10378,325.05299672,3.97609287,-17962,35652.14
"RRRP3<XBSP>","1T2019","-","-","-","-","-","-"
"RRRP3<XBSP>","2T2019","-","-","-","-","-","-"
"RRRP3<XBSP>","3T2019","-","-","-","-","-","-"
"RRRP3<XBSP>","4T2019",8692,7233,120.17143647,2.630105306,-15055,-2227.46
"RRRP3<XBSP>","1T2020","-","-","-","-","-","-"
"RRRP3<XBSP>","2T2020","-","-","-","-","-","-"
"RRRP3<XBSP>","3T2020","-","-","-","-","-","-"
"RRRP3<XBSP>","4T2020",852410,42454,2007.8437839,15.975224742,-796863,-1519767.32
"RRRP3<XBSP>","1T2021",865553,89858,963.24534265,26.444612519,-793836,-2261459.44
"RRRP3<XBSP>","2T2021",910329,77570,1173.5580766,21.748272923,-731479,-2053204.96
"RRRP3<XBSP>","3T2021",1159145,105700,1096.6367077,29.155323122,-900643,-1768052.44
"RRRP3<XBSP>","4T2021",366739,117368,312.46932724,9.87344413,-303900,-1464730.3
"RRRP3<XBSP>","1T2022",426517,157099,271.49568107,13.178141761,-422724,304973.76
"RRRP3<XBSP>","2T2022",1737537,174890,993.50277317,13.3504734,-1662971,118462.55999
"RRRP3<XBSP>","3T2022",1639663,230348,711.819942,11.488546515,-1590526,-1064355.42
"RRRP3<XBSP>","4T2022",1764205,279302,631.64782207,11.31411743,-1673900,161374.62
"RRRP3<XBSP>","1T2023",1860751,302131,615.87556391,12.308195578,-1726376,-503125.32
"RRRP3<XBSP>","2T2023",734712,376536,195.12397221,8.6984444094,-812743,-511775.08
"RRRP3<XBSP>","3T2023",6234987,513428,1214.3839058,9.8222337687,-5890241,-4516551.66
"RRRP3<XBSP>","4T2023",838574,620100,135.23205935,11.756649303,170124,667230.2
"TTEN3<XBSP>","2T2022","-","-","-","-","-","-"
"TTEN3<XBSP>","3T2022","-","-","-","-","-","-"
"TTEN3<XBSP>","4T2022",716139,37746,1897.2579876,"-",-458442,"-"
"TTEN3<XBSP>","1T2023","-","-","-","-","-","-"
"TTEN3<XBSP>","2T2023",682339,45290,1506.5996909,4.1201755783,80412.999999,-77422.419993
"TTEN3<XBSP>","3T2023",581584,51283,1134.0678197,3.8894661398,40,-33496.8
"TTEN3<XBSP>","4T2023",506746,57597,879.81318472,3.7795365496,356759,-276862.6
"QVQP3<XBSP>","3T1998","-","-","-","-","-","-"
"QVQP3<XBSP>","4T1998",5360.721,0,"-","-","-","-"
"QVQP3<XBSP>","1T1999","-","-","-","-","-","-"
"QVQP3<XBSP>","2T1999","-","-","-","-","-","-"
"QVQP3<XBSP>","3T1999","-","-","-","-","-","-"
"QVQP3<XBSP>","4T1999",183.623,0,"-","-","-",-3213.79334
"QVQP3<XBSP>","1T2000","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2000","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2000","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2000",0,0,"-","-","-",-287.904
"QVQP3<XBSP>","1T2001","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2001","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2001","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2001","-","-","-","-","-","-"
"QVQP3<XBSP>","1T2002","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2002","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2002","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2002",0,0,"-","-","-",57.72
"QVQP3<XBSP>","1T2003","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2003","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2003","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2003",0,0,"-","-","-",67.74
"QVQP3<XBSP>","1T2004","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2004","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2004","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2004",0,0,"-","-","-",22.96
"QVQP3<XBSP>","1T2005","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2005","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2005","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2005",0,0,"-","-","-",-182.44
"QVQP3<XBSP>","1T2006","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2006","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2006","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2006",0,0,"-","-","-",-185.08
"QVQP3<XBSP>","1T2007","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2007","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2007","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2007",0,0,"-","-","-",-40.78
"QVQP3<XBSP>","1T2008","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2008","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2008","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2008",0,0,"-","-",-99,361.04
"QVQP3<XBSP>","1T2009","-","-","-","-","-","-"
"QVQP3<XBSP>","2T2009","-","-","-","-","-","-"
"QVQP3<XBSP>","3T2009","-","-","-","-","-","-"
"QVQP3<XBSP>","4T2009",0,0,"-","-",-158,-58.92
"QVQP3<XBSP>","1T2010",0,0,"-","-",-200,-55.98
"QVQP3<XBSP>","2T2010",0,0,"-","-",3449,-1694.62
"QVQP3<XBSP>","3T2010",0,0,"-","-",4322,1876.68
"QVQP3<XBSP>","4T2010",0,0,"-","-",4477,1864.08
"QVQP3<XBSP>","1T2011",0,0,"-","-",4524,1874.4
"QVQP3<XBSP>","2T2011",0,0,"-","-",-6.0000000022,3526.6
"QVQP3<XBSP>","3T2011",0,0,"-","-",-892,-47.760000001
"QVQP3<XBSP>","4T2011",0,0,"-","-",-914,-8.2200000001
"QVQP3<XBSP>","1T2012",0,0,"-","-",-422,-201.48
"QVQP3<XBSP>","2T2012",0,0,"-","-",432,-196.5
"QVQP3<XBSP>","3T2012",0,0,"-","-",447,-203.84
"QVQP3<XBSP>","4T2012",0,0,"-","-",569,-111.92
"QVQP3<XBSP>","1T2013",0,0,"-","-",38,98.340000001
"QVQP3<XBSP>","2T2013",0,0,"-","-",-44,95.24
"QVQP3<XBSP>","3T2013",0,0,"-","-",-46.999999999,96.56
"QVQP3<XBSP>","4T2013",0,0,"-","-",-121,-29.42
"QVQP3<XBSP>","1T2014",0,0,"-","-",-119,-29.66
"QVQP3<XBSP>","2T2014",0,0,"-","-",-26,-0.04000000003
"QVQP3<XBSP>","3T2014",0,0,"-","-",-42,1.3200000001
"QVQP3<XBSP>","4T2014",0,0,"-","-",-75,25.6
"QVQP3<XBSP>","1T2015",0,0,"-","-",-89,31.26
"QVQP3<XBSP>","2T2015",0,0,"-","-",-80,3.9999999999
"QVQP3<XBSP>","3T2015",0,0,"-","-",-70,5.6800000004
"QVQP3<XBSP>","4T2015",0,0,"-","-",-70,6.3400000001
"QVQP3<XBSP>","1T2016",0,0,"-","-",-54,-35.76
"QVQP3<XBSP>","2T2016",0,0,"-","-",-70,-25.58
"QVQP3<XBSP>","3T2016",0,0,"-","-",-91,13.72
"QVQP3<XBSP>","4T2016",0,0,"-","-",-103,21.12
"QVQP3<XBSP>","1T2017",0,0,"-","-",-106,24.78
"QVQP3<XBSP>","2T2017",0,0,"-","-",-108,21.66
"QVQP3<XBSP>","3T2017",0,0,"-","-",-104,44.7
"QVQP3<XBSP>","4T2017",0,0,"-","-",-106,-52.96
"QVQP3<XBSP>","1T2018","-",0,"-","-","-","-"
"QVQP3<XBSP>","2T2018",0,0,"-","-",-120,-158.08
"QVQP3<XBSP>","3T2018",0,0,"-","-",-125,-170.06
"QVQP3<XBSP>","4T2018",0,0,"-","-",-117,-73.78
"QVQP3<XBSP>","1T2019","-",0,"-","-","-","-"
"QVQP3<XBSP>","2T2019",0,0,"-","-",-145,-50.02
"QVQP3<XBSP>","3T2019",0,0,"-","-",-133,-56.72
"QVQP3<XBSP>","4T2019",0,0,"-","-",-134,-55.72
"QVQP3<XBSP>","1T2020","-",0,"-","-","-","-"
"QVQP3<XBSP>","2T2020",0,0,"-","-",-128,-178.78
"QVQP3<XBSP>","3T2020",0,0,"-","-",-119,-186.46
"QVQP3<XBSP>","4T2020",0,0,"-","-",-116,-186.48
"QVQP3<XBSP>","1T2021","-",0,"-","-","-","-"
"QVQP3<XBSP>","2T2021","-",0,"-","-","-","-"
"QVQP3<XBSP>","3T2021",0,0,"-","-",-125,32.52
"QVQP3<XBSP>","4T2021",0,0,"-","-",-127,-47.8
"QVQP3<XBSP>","1T2022","-",0,"-","-","-","-"
"QVQP3<XBSP>","2T2022","-",0,"-","-","-","-"
"QVQP3<XBSP>","3T2022",0,0,"-","-",-124,-165.12
"QVQP3<XBSP>","4T2022",0,0,"-","-",-114,-89.48
"QVQP3<XBSP>","1T2023","-",0,"-","-","-","-"
"QVQP3<XBSP>","2T2023","-",0,"-","-","-","-"
"QVQP3<XBSP>","3T2023",0,0,"-","-",-98,-97.56
"QVQP3<XBSP>","4T2023",0,0,"-","-",-101,-97.56
"ABCB4<XBSP>","4T2006","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2007","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2007","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2007","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2007","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2008","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2008","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2008","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2008","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2009","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2009","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2009","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2009","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2010","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2010","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2010","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2010","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2011","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2011","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2011","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2011","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2012","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2012","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2012","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2012","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2013","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2013","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2013","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2013","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2014","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2014","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2014","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2014","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2015","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2015","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2015","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2015","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2016","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2016","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2016","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2016","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2017","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2017","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2017","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2017","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2018","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2018","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2018","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2018","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2019","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2019","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2019","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2019","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2020","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2020","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2020","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2020","-","-","-","-","-","-"
"ABCB4<XBSP>","1T2021","-","-","-","-","-","-"
"ABCB4<XBSP>","2T2021","-","-","-","-","-","-"
"ABCB4<XBSP>","3T2021","-","-","-","-","-","-"
"ABCB4<XBSP>","4T2021","-","-","-","-","-","-"
